RA_low,RA_up,DE_low,name
0.0000,24.0000,88.0000,UMI
8.0000,14.5000,86.5000,UMI
21.0000,23.0000,86.1667,UMI
18.0000,21.0000,86.0000,UMI
0.0000,8.0000,85.0000,CEP
9.1667,10.6667,82.0000,CAM
0.0000,5.0000,80.0000,CEP
10.6667,14.5000,80.0000,CAM
17.5000,18.0000,80.0000,UMI
20.1667,21.0000,80.0000,DRA
0.0000,3.5083,77.0000,CEP
11.5000,13.5833,77.0000,CAM
16.5333,17.5000,75.0000,UMI
20.1667,20.6667,75.0000,CEP
7.9667,9.1667,73.5000,CAM
9.1667,11.3333,73.5000,DRA
13.0000,16.5333,70.0000,UMI
3.1000,3.4167,68.0000,CAS
20.4167,20.6667,67.0000,DRA
11.3333,12.0000,66.5000,DRA
0.0000,0.3333,66.0000,CEP
14.0000,15.6667,66.0000,UMI
23.5833,24.0000,66.0000,CEP
12.0000,13.5000,64.0000,DRA
13.5000,14.4167,63.0000,DRA
23.1667,23.5833,63.0000,CEP
6.1000,7.0000,62.0000,CAM
20.0000,20.4167,61.5000,DRA
20.5367,20.6000,60.9167,CEP
7.0000,7.9667,60.0000,CAM
7.9667,8.4167,60.0000,UMA
19.7667,20.0000,59.5000,DRA
20.0000,20.5367,59.5000,CEP
22.8667,23.1667,59.0833,CEP
0.0000,2.4333,58.5000,CAS
19.4167,19.7667,58.0000,DRA
1.7000,1.9083,57.5000,CAS
2.4333,3.1000,57.0000,CAS
3.1000,3.1667,57.0000,CAM
22.3167,22.8667,56.2500,CEP
5.0000,6.1000,56.0000,CAM
14.0333,14.4167,55.5000,UMA
14.4167,19.4167,55.5000,DRA
3.1667,3.3333,55.0000,CAM
22.1333,22.3167,55.0000,CEP
20.6000,21.9667,54.8333,CEP
0.0000,1.7000,54.0000,CAS
6.1000,6.5000,54.0000,LYN
12.0833,13.5000,53.0000,UMA
15.2500,15.7500,53.0000,DRA
21.9667,22.1333,52.7500,CEP
3.3333,5.0000,52.5000,CAM
22.8667,23.3333,52.5000,CAS
15.7500,17.0000,51.5000,DRA
2.0417,2.5167,50.5000,PER
17.0000,18.2333,50.5000,DRA
0.0000,1.3667,50.0000,CAS
1.3667,1.6667,50.0000,PER
6.5000,6.8000,50.0000,LYN
23.3333,24.0000,50.0000,CAS
13.5000,14.0333,48.5000,UMA
0.0000,1.1167,48.0000,CAS
23.5833,24.0000,48.0000,CAS
18.1750,18.2333,47.5000,HER
18.2333,19.0833,47.5000,DRA
19.0833,19.1667,47.5000,CYG
1.6667,2.0417,47.0000,PER
8.4167,9.1667,47.0000,UMA
0.1667,0.8667,46.0000,CAS
12.0000,12.0833,45.0000,UMA
6.8000,7.3667,44.5000,LYN
21.9083,21.9667,44.0000,CYG
21.8750,21.9083,43.7500,CYG
19.1667,19.4000,43.5000,CYG
9.1667,10.1667,42.0000,UMA
10.1667,10.7833,40.0000,UMA
15.4333,15.7500,40.0000,BOO
15.7500,16.3333,40.0000,HER
9.2500,9.5833,39.7500,LYN
0.0000,2.5167,36.7500,AND
2.5167,2.5667,36.7500,PER
19.3583,19.4000,36.5000,LYR
4.5000,4.6917,36.0000,PER
21.7333,21.8750,36.0000,CYG
21.8750,22.0000,36.0000,LAC
6.5333,7.3667,35.5000,AUR
7.3667,7.7500,35.5000,LYN
0.0000,2.0000,35.0000,AND
22.0000,22.8167,35.0000,LAC
22.8167,22.8667,34.5000,LAC
22.8667,23.5000,34.5000,AND
2.5667,2.7167,34.0000,PER
10.7833,11.0000,34.0000,UMA
12.0000,12.3333,34.0000,CVN
7.7500,9.2500,33.5000,LYN
9.2500,9.8833,33.5000,LMI
0.7167,1.4083,33.0000,AND
15.1833,15.4333,33.0000,BOO
23.5000,23.7500,32.0833,AND
12.3333,13.2500,32.0000,CVN
23.7500,24.0000,31.3333,AND
13.9583,14.0333,30.7500,CVN
2.4167,2.7167,30.6667,TRI
2.7167,4.5000,30.6667,PER
4.5000,4.7500,30.0000,AUR
18.1750,19.3583,30.0000,LYR
11.0000,12.0000,29.0000,UMA
19.6667,20.9167,29.0000,CYG
4.7500,5.8833,28.5000,AUR
9.8833,10.5000,28.5000,LMI
13.2500,13.9583,28.5000,CVN
0.0000,0.0667,28.0000,AND
1.4083,1.6667,28.0000,TRI
5.8833,6.5333,28.0000,AUR
7.8833,8.0000,28.0000,GEM
20.9167,21.7333,28.0000,CYG
19.2583,19.6667,27.5000,CYG
1.9167,2.4167,27.2500,TRI
16.1667,16.3333,27.0000,CRB
15.0833,15.1833,26.0000,BOO
15.1833,16.1667,26.0000,CRB
18.3667,18.8667,26.0000,LYR
10.7500,11.0000,25.5000,LMI
18.8667,19.2583,25.5000,LYR
1.6667,1.9167,25.0000,TRI
0.7167,0.8500,23.7500,PSC
10.5000,10.7500,23.5000,LMI
21.2500,21.4167,23.5000,VUL
5.7000,5.8833,22.8333,TAU
0.0667,0.1417,22.0000,AND
15.9167,16.0333,22.0000,SER
5.8833,6.2167,21.5000,GEM
19.8333,20.2500,21.2500,VUL
18.8667,19.2500,21.0833,VUL
0.1417,0.8500,21.0000,AND
20.2500,20.5667,20.5000,VUL
7.8083,7.8833,20.0000,GEM
20.5667,21.2500,19.5000,VUL
19.2500,19.8333,19.1667,VUL
3.2833,3.3667,19.0000,ARI
18.8667,19.0000,18.5000,SGE
5.7000,5.7667,18.0000,ORI
6.2167,6.3083,17.5000,GEM
19.0000,19.8333,16.1667,SGE
4.9667,5.3333,16.0000,TAU
15.9167,16.0833,16.0000,HER
19.8333,20.2500,15.7500,SGE
4.6167,4.9667,15.5000,TAU
5.3333,5.6000,15.5000,TAU
12.8333,13.5000,15.0000,COM
17.2500,18.2500,14.3333,HER
11.8667,12.8333,14.0000,COM
7.5000,7.8083,13.5000,GEM
16.7500,17.2500,12.8333,HER
0.0000,0.1417,12.5000,PEG
5.6000,5.7667,12.5000,TAU
7.0000,7.5000,12.5000,GEM
21.1167,21.3333,12.5000,PEG
6.3083,6.9333,12.0000,GEM
18.2500,18.8667,12.0000,HER
20.8750,21.0500,11.8333,DEL
21.0500,21.1167,11.8333,PEG
11.5167,11.8667,11.0000,LEO
6.2417,6.3083,10.0000,ORI
6.9333,7.0000,10.0000,GEM
7.8083,7.9250,10.0000,CNC
23.8333,24.0000,10.0000,PEG
1.6667,3.2833,9.9167,ARI
20.1417,20.3000,8.5000,DEL
13.5000,15.0833,8.0000,BOO
22.7500,23.8333,7.5000,PEG
7.9250,9.2500,7.0000,CNC
9.2500,10.7500,7.0000,LEO
18.2500,18.6622,6.2500,OPH
18.6622,18.8667,6.2500,AQL
20.8333,20.8750,6.0000,DEL
7.0000,7.0167,5.5000,CMI
18.2500,18.4250,4.5000,SER
16.0833,16.7500,4.0000,HER
18.2500,18.4250,3.0000,OPH
21.4667,21.6667,2.7500,PEG
0.0000,2.0000,2.0000,PSC
18.5833,18.8667,2.0000,SER
20.3000,20.8333,2.0000,DEL
20.8333,21.3333,2.0000,EQU
21.3333,21.4667,2.0000,PEG
22.0000,22.7500,2.0000,PEG
21.6667,22.0000,1.7500,PEG
7.0167,7.2000,1.5000,CMI
3.5833,4.6167,0.0000,TAU
4.6167,4.6667,0.0000,ORI
7.2000,8.0833,0.0000,CMI
14.6667,15.0833,0.0000,VIR
17.8333,18.2500,0.0000,OPH
2.6500,3.2833,-01.7500,CET
3.2833,3.5833,-01.7500,TAU
15.0833,16.2667,-03.2500,SER
4.6667,5.0833,-04.0000,ORI
5.8333,6.2417,-04.0000,ORI
17.8333,17.9667,-04.0000,SER
18.2500,18.5833,-04.0000,SER
18.5833,18.8667,-04.0000,AQL
22.7500,23.8333,-04.0000,PSC
10.7500,11.5167,-06.0000,LEO
11.5167,11.8333,-06.0000,VIR
0.0000,00.3333,-07.0000,PSC
23.8333,24.0000,-07.0000,PSC
14.2500,14.6667,-08.0000,VIR
15.9167,16.2667,-08.0000,OPH
20.0000,20.5333,-09.0000,AQL
21.3333,21.8667,-09.0000,AQR
17.1667,17.9667,-10.0000,OPH
5.8333,8.0833,-11.0000,MON
4.9167,5.0833,-11.0000,ERI
5.0833,5.8333,-11.0000,ORI
8.0833,8.3667,-11.0000,HYA
9.5833,10.7500,-11.0000,SEX
11.8333,12.8333,-11.0000,VIR
17.5833,17.6667,-11.6667,OPH
18.8667,20.0000,-12.0333,AQL
4.8333,4.9167,-14.5000,ERI
20.5333,21.3333,-15.0000,AQR
17.1667,18.2500,-16.0000,SER
18.2500,18.8667,-16.0000,SCT
8.3667,8.5833,-17.0000,HYA
16.2667,16.3750,-18.2500,OPH
8.5833,9.0833,-19.0000,HYA
10.7500,10.8333,-19.0000,CRT
16.2667,16.3750,-19.2500,SCO
15.6667,15.9167,-20.0000,LIB
12.5833,12.8333,-22.0000,CRV
12.8333,14.2500,-22.0000,VIR
9.0833,9.7500,-24.0000,HYA
1.6667,2.6500,-24.3833,CET
2.6500,3.7500,-24.3833,ERI
10.8333,11.8333,-24.5000,CRT
11.8333,12.5833,-24.5000,CRV
14.2500,14.9167,-24.5000,LIB
16.2667,16.7500,-24.5833,OPH
0.0000,1.6667,-25.5000,CET
21.3333,21.8667,-25.5000,CAP
21.8667,23.8333,-25.5000,AQR
23.8333,24.0000,-25.5000,CET
9.7500,10.2500,-26.5000,HYA
4.7000,4.8333,-27.2500,ERI
4.8333,6.1167,-27.2500,LEP
20.0000,21.3333,-28.0000,CAP
10.2500,10.5833,-29.1667,HYA
12.5833,14.9167,-29.5000,HYA
14.9167,15.6667,-29.5000,LIB
15.6667,16.0000,-29.5000,SCO
4.5833,4.7000,-30.0000,ERI
16.7500,17.6000,-30.0000,OPH
17.6000,17.8333,-30.0000,SGR
10.5833,10.8333,-31.1667,HYA
6.1167,7.3667,-33.0000,CMA
12.2500,12.5833,-33.0000,HYA
10.8333,12.2500,-35.0000,HYA
3.5000,3.7500,-36.0000,FOR
8.3667,9.3667,-36.7500,PYX
4.2667,4.5833,-37.0000,ERI
17.8333,19.1667,-37.0000,SGR
21.3333,23.0000,-37.0000,PSA
23.0000,23.3333,-37.0000,SCL
3.0000,3.5000,-39.5833,FOR
9.3667,11.0000,-39.7500,ANT
0.0000,1.6667,-40.0000,SCL
1.6667,3.0000,-40.0000,FOR
3.8667,4.2667,-40.0000,ERI
23.3333,24.0000,-40.0000,SCL
14.1667,14.9167,-42.0000,CEN
15.6667,16.0000,-42.0000,LUP
16.0000,16.4208,-42.0000,SCO
4.8333,5.0000,-43.0000,CAE
5.0000,6.5833,-43.0000,COL
8.0000,8.3667,-43.0000,PUP
3.4167,3.8667,-44.0000,ERI
16.4208,17.8333,-45.5000,SCO
17.8333,19.1667,-45.5000,CRA
19.1667,20.3333,-45.5000,SGR
20.3333,21.3333,-45.5000,MIC
3.0000,3.4167,-46.0000,ERI
4.5000,4.8333,-46.5000,CAE
15.3333,15.6667,-48.0000,LUP
0.0000,2.3333,-48.1667,PHE
2.6667,3.0000,-49.0000,ERI
4.0833,4.2667,-49.0000,HOR
4.2667,4.5000,-49.0000,CAE
21.3333,22.0000,-50.0000,GRU
6.0000,8.0000,-50.7500,PUP
8.0000,8.1667,-50.7500,VEL
2.4167,2.6667,-51.0000,ERI
3.8333,4.0833,-51.0000,HOR
0.0000,1.8333,-51.5000,PHE
6.0000,6.1667,-52.5000,CAR
8.1667,8.4500,-53.0000,VEL
3.5000,3.8333,-53.1667,HOR
3.8333,4.0000,-53.1667,DOR
0.0000,1.5833,-53.5000,PHE
2.1667,2.4167,-54.0000,ERI
4.5000,5.0000,-54.0000,PIC
15.0500,15.3333,-54.0000,LUP
8.4500,8.8333,-54.5000,VEL
6.1667,6.5000,-55.0000,CAR
11.8333,12.8333,-55.0000,CEN
14.1667,15.0500,-55.0000,LUP
15.0500,15.3333,-55.0000,NOR
4.0000,4.3333,-56.5000,DOR
8.8333,11.0000,-56.5000,VEL
11.0000,11.2500,-56.5000,CEN
17.5000,18.0000,-57.0000,ARA
18.0000,20.3333,-57.0000,TEL
22.0000,23.3333,-57.0000,GRU
3.2000,3.5000,-57.5000,HOR
5.0000,5.5000,-57.5000,PIC
6.5000,6.8333,-58.0000,CAR
0.0000,1.3333,-58.5000,PHE
1.3333,2.1667,-58.5000,ERI
23.3333,24.0000,-58.5000,PHE
4.3333,4.5833,-59.0000,DOR
15.3333,16.4208,-60.0000,NOR
20.3333,21.3333,-60.0000,IND
5.5000,6.0000,-61.0000,PIC
15.1667,15.3333,-61.0000,CIR
16.4208,16.5833,-61.0000,ARA
14.9167,15.1667,-63.5833,CIR
16.5833,16.7500,-63.5833,ARA
6.0000,6.8333,-64.0000,PIC
6.8333,9.0333,-64.0000,CAR
11.2500,11.8333,-64.0000,CEN
11.8333,12.8333,-64.0000,CRU
12.8333,14.5333,-64.0000,CEN
13.5000,13.6667,-65.0000,CIR
16.7500,16.8333,-65.0000,ARA
2.1667,3.2000,-67.5000,HOR
3.2000,4.5833,-67.5000,RET
14.7500,14.9167,-67.5000,CIR
16.8333,17.5000,-67.5000,ARA
17.5000,18.0000,-67.5000,PAV
22.0000,23.3333,-67.5000,TUC
4.5833,6.5833,-70.0000,DOR
13.6667,14.7500,-70.0000,CIR
14.7500,17.0000,-70.0000,TRA
0.0000,1.3333,-75.0000,TUC
3.5000,4.5833,-75.0000,HYI
6.5833,9.0333,-75.0000,VOL
9.0333,11.2500,-75.0000,CAR
11.2500,13.6667,-75.0000,MUS
18.0000,21.3333,-75.0000,PAV
21.3333,23.3333,-75.0000,IND
23.3333,24.0000,-75.0000,TUC
0.7500,1.3333,-76.0000,TUC
0.0000,3.5000,-82.5000,HYI
7.6667,13.6667,-82.5000,CHA
13.6667,18.0000,-82.5000,APS
3.5000,7.6667,-85.0000,MEN
0.0000,24.0000,-90.0000,OCT
